,t,means,covs,gain,mu_y,Sy
53,53.0,-4.3860249519348145,0.01703280210494995,-1.2940549850463867,-0.3251112103462219,0.5934873819351196
54,54.0,-5.1808905601501465,0.015171408653259277,-1.2225031852722168,-0.2960987687110901,0.670432448387146
55,55.0,-3.908130407333374,0.02910137176513672,-1.681279182434082,0.4081130623817444,0.348793089389801
56,56.0,-3.6724045276641846,0.9725876450538635,2.3191797733306885,-0.4998578429222107,0.010585391893982887
57,57.0,-1.6809542179107666,0.04272127151489258,2.044602632522583,-0.4390193223953247,0.4656764566898346
58,58.0,-1.0458858013153076,0.010309815406799316,-1.0103408098220825,0.09954875707626343,1.0114781856536865
59,59.0,-1.7746846675872803,0.041179120540618896,-1.9874738454818726,-0.4379090666770935,0.2453201860189438
60,60.0,-1.4658924341201782,0.011542797088623047,-1.0684101581573486,0.18925723433494568,0.9021490216255188
61,61.0,-2.0278892517089844,0.010438084602355957,-1.0163757801055908,-0.11384166032075882,0.969081699848175
62,62.0,-0.5367748737335205,0.02500241994857788,-1.5615334510803223,0.390491783618927,0.4041721820831299
63,63.0,1.189467191696167,0.04066222906112671,1.9760704040527344,-0.4369874596595764,0.251971572637558
64,64.0,1.1800627708435059,0.019463300704956055,-1.381996512413025,0.3520737290382385,0.5345249176025391
65,65.0,1.4321174621582031,0.020191729068756104,-1.4068334102630615,0.35866403579711914,0.5048168897628784
66,66.0,1.5630441904067993,0.010821700096130371,-1.0347445011138916,0.14640569686889648,0.942671000957489
67,67.0,1.4001520872116089,0.009914398193359375,-0.9908161163330078,0.017748158425092697,1.019546389579773
68,68.0,1.9572161436080933,0.011297523975372314,-1.0569381713867188,0.17660407721996307,0.8938921093940735
69,69.0,0.9119161367416382,0.0184859037399292,-1.3471477031707764,-0.34239456057548523,0.5471088290214539
70,70.0,0.9156699180603027,0.1537339687347412,-3.612806558609009,0.4859972298145294,0.06623518466949463
71,71.0,1.5164275169372559,0.14844155311584473,-3.5959954261779785,0.4851069450378418,0.07759729772806168
72,72.0,1.8302730321884155,0.010078191757202148,-0.99949049949646,0.06417648494243622,1.1393628120422363
73,73.0,1.8669666051864624,0.01281440258026123,-1.1248067617416382,-0.23954728245735168,0.7882731556892395
74,74.0,1.2225242853164673,0.013971388339996338,-1.1738264560699463,-0.2711664140224457,0.7249732613563538
75,75.0,1.4463034868240356,0.01725071668624878,-1.3021949529647827,0.32793834805488586,0.5877328515052795
76,76.0,1.1148524284362793,0.010646462440490723,-1.026399850845337,0.13280226290225983,0.9554480910301208
77,77.0,2.254793167114258,0.027214527130126953,-1.6273200511932373,0.4007635712623596,0.3713274300098419
78,78.0,0.44607627391815186,0.17656594514846802,-3.8239591121673584,-0.48813310265541077,0.05819689482450485
79,79.0,-0.5336700677871704,0.024329304695129395,1.5435335636138916,0.3864896893501282,0.4822947382926941
80,80.0,0.9748448729515076,0.03981143236160278,1.95610773563385,-0.43548330664634705,0.25718995928764343
81,81.0,0.41957592964172363,0.0739283561706543,-2.6204943656921387,0.46753478050231934,0.14059104025363922
82,82.0,0.35832762718200684,0.02156209945678711,1.4535638093948364,0.3693044185638428,0.49744337797164917
83,83.0,-0.020403355360031128,0.017086267471313477,1.2961682081222534,0.3257807791233063,0.5976445078849792
84,84.0,0.2888388931751251,0.009918689727783203,0.9910533428192139,-0.02019384130835533,1.025087833404541
85,85.0,0.1152532696723938,0.013948917388916016,1.1728709936141968,0.27064940333366394,0.7238742113113403
86,86.0,-0.36829569935798645,0.010431051254272461,1.0160521268844604,0.11311548203229904,0.971792995929718
87,87.0,-0.5328640341758728,0.01767444610595703,1.3177714347839355,-0.33320778608322144,0.5715810656547546
88,88.0,0.38839590549468994,0.03958570957183838,1.9505270719528198,-0.4350901246070862,0.25700387358665466
89,89.0,0.5957161784172058,0.01901841163635254,1.3663944005966187,0.34778672456741333,0.5462343692779541
90,90.0,-1.5826822519302368,0.06461119651794434,2.4599435329437256,0.4623430669307709,0.15766698122024536
91,91.0,-1.9570626020431519,0.009907007217407227,-0.9907013177871704,0.0018866454483941197,1.0746115446090698
92,92.0,-2.259481191635132,0.018474936485290527,-1.3467377424240112,0.3422822058200836,0.5466755628585815
93,93.0,-2.101151943206787,0.18935298919677734,-3.926281452178955,0.4891331195831299,0.0537995845079422
94,94.0,-0.7456068992614746,0.03822052478790283,-1.9233906269073486,0.43207499384880066,0.3116838335990906
95,95.0,0.45667970180511475,0.5467742085456848,5.0858893394470215,-0.4978322982788086,0.018977871164679527
96,96.0,-0.17425289750099182,0.025740861892700195,1.5909018516540527,0.3930704593658447,0.5971083641052246
97,97.0,0.23504480719566345,0.011168956756591797,1.051052451133728,-0.16911639273166656,0.9179479479789734
98,98.0,-0.4555858075618744,0.012369036674499512,1.1053426265716553,0.22440437972545624,0.8173172473907471
99,99.0,-0.1703561544418335,0.025382578372955322,1.5730884075164795,-0.39239951968193054,0.39875635504722595
